iter	PRAUC	Logloss	PRAUC:use_weights=true	PRAUC:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false
75	0.7773440615	0.6069384599	0.7773440615	0.5126979777	0.6697213391	0.6697213391	0.6925471101	0.3437649995	0.6809429936	0.4543263131
76	0.7773671293	0.6065279563	0.7773671293	0.5127015573	0.6710304844	0.6710304844	0.6928071798	0.3440406559	0.6817449755	0.4548681542
77	0.777483712	0.605923011	0.777483712	0.5129185944	0.6712175051	0.6712175051	0.6924934021	0.3437081019	0.681689486	0.4546203053
78	0.7775356426	0.6052363692	0.7775356426	0.5130438986	0.6704694221	0.6704694221	0.6930962484	0.3443473249	0.681595102	0.4550069806
79	0.7775131213	0.6045584272	0.7775131213	0.512953635	0.6708434636	0.6708434636	0.6942445328	0.3455684008	0.6823434214	0.4561581993
80	0.7775899959	0.6040610028	0.7775899959	0.5130092416	0.6715915467	0.6715915467	0.6938881069	0.3451888878	0.6825577894	0.456
81	0.7776648658	0.6034889296	0.7776648658	0.5131208961	0.6725266505	0.6725266505	0.6939966343	0.3453043979	0.6830929807	0.4563162236
82	0.7777796186	0.6029727926	0.7777796186	0.5133423431	0.6725266505	0.6725266505	0.6937164178	0.3450062362	0.6829572126	0.4560558022
83	0.7779851616	0.6025301975	0.7779851616	0.5136601341	0.6734617543	0.6734617543	0.6936695686	0.3449564134	0.6834163137	0.4562270366
84	0.7781412373	0.6020804366	0.7781412373	0.5138810554	0.6738357958	0.6738357958	0.6935390825	0.3448176859	0.6835454812	0.4561914409
85	0.7783373778	0.6015754934	0.7783373778	0.5141887991	0.6745838788	0.6745838788	0.6932786914	0.3445410259	0.6838035325	0.4561203844
86	0.7783785774	0.601093295	0.7783785774	0.5142942828	0.6749579203	0.6749579203	0.6936134931	0.344896789	0.6841585557	0.4565176143
87	0.7783938583	0.6005915142	0.7783938583	0.514277882	0.6745838788	0.6745838788	0.6936817766	0.3449693956	0.6839995459	0.4564956021
88	0.7786796056	0.6002087778	0.7786796056	0.514744219	0.6749579203	0.6749579203	0.6936134931	0.344896789	0.6841585557	0.4565176143
89	0.7788584023	0.5998737756	0.7788584023	0.5150093605	0.6751449411	0.6751449411	0.6937653726	0.3450583063	0.6843285158	0.4567018787
90	0.7789257814	0.5995877201	0.7789257814	0.515068527	0.6753319618	0.6753319618	0.6940102806	0.3453189251	0.6845437317	0.4569729182
91	0.7789132664	0.5991314505	0.7789132664	0.5149905935	0.6758930241	0.6758930241	0.6943727139	0.3457049933	0.6850082585	0.4574394026
92	0.778981464	0.5987501039	0.778981464	0.5150938162	0.6758930241	0.6758930241	0.6938766492	0.3451766953	0.6847667837	0.4569766707
93	0.7790595486	0.5983053301	0.7790595486	0.5151536221	0.6755189826	0.6755189826	0.6943793796	0.345712098	0.6848193486	0.457359924
94	0.779223699	0.5979710203	0.779223699	0.5153708347	0.6753319618	0.6753319618	0.6942274856	0.3455502392	0.6846493749	0.4571754131
95	0.7793598644	0.5973712026	0.7793598644	0.5156080207	0.6760800449	0.6760800449	0.6943073547	0.345635338	0.6850724805	0.4574212324
96	0.7796665072	0.5969685221	0.7796665072	0.5161248297	0.6757060034	0.6757060034	0.6944070823	0.3457416268	0.6849289145	0.4574286257
97	0.7798127216	0.5965913811	0.7798127216	0.5163091771	0.6764540864	0.6764540864	0.6941767817	0.345496227	0.685200854	0.4573849267
98	0.7800051351	0.5961349862	0.7800051351	0.5165855261	0.6770151487	0.6770151487	0.694105066	0.3454198473	0.6854536013	0.4574461363
99	0.7800815329	0.5956598099	0.7800815329	0.5167133446	0.6770151487	0.6770151487	0.6941669734	0.3454857797	0.6854837868	0.4575039494
100	0.7804231203	0.5952170673	0.7804231203	0.5172377558	0.6773891902	0.6773891902	0.6942532724	0.3455777121	0.685717561	0.457669952
101	0.7807004176	0.5949808899	0.7807004176	0.5176486488	0.6773891902	0.6773891902	0.694408042	0.3457426499	0.6857930461	0.4578145737
102	0.7809976471	0.5946184442	0.7809976471	0.5181109217	0.6781372732	0.6781372732	0.694549384	0.3458933511	0.6862452154	0.4581174984
103	0.7811120675	0.5941662493	0.7811120675	0.5183163087	0.6786983355	0.6786983355	0.6945392813	0.3458825772	0.686527442	0.4582359997
104	0.781270798	0.5938469665	0.781270798	0.5185702009	0.6796334393	0.6796334393	0.6946768594	0.3460293277	0.6870728155	0.4585778283
105	0.7813245364	0.593512984	0.7813245364	0.518683611	0.6788853563	0.6788853563	0.6943196571	0.3456484479	0.6865157689	0.4580730645
106	0.7812810701	0.5930906926	0.7812810701	0.5186677037	0.6788853563	0.6788853563	0.6939492381	0.3452539471	0.6863346505	0.457726499
107	0.7813538769	0.5928052024	0.7813538769	0.5187392377	0.679072377	0.679072377	0.6940694373	0.3453819081	0.6864890104	0.4578814628
108	0.781448393	0.5924765455	0.781448393	0.5188891545	0.6792593978	0.6792593978	0.6942513297	0.3455756422	0.6866735449	0.4580942171
109	0.7814267915	0.5921193584	0.7814267915	0.5188430255	0.6796334393	0.6796334393	0.6944607493	0.3457988391	0.6869670965	0.4583753784
110	0.7815264228	0.5917306201	0.7815264228	0.5190216294	0.6796334393	0.6796334393	0.6947695193	0.3461282027	0.6871181337	0.4586646472
111	0.7816502499	0.591301441	0.7816502499	0.5192109624	0.6796334393	0.6796334393	0.6950476471	0.3464251668	0.687254124	0.4589253015
